#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
373	804.897	6206.03	0	4436.63	51793.6	62436.3
374	804.897	6202.81	0	4415.58	51450.8	62069.2
375	804.897	6214.12	0	4414.35	51450.8	62079.2
376	804.897	6217.38	0	4462.98	51450.8	62131.1
377	804.897	6219.13	0	4451.76	51450.8	62121.7
378	804.897	6189.22	0	4412.7	51111.8	61713.7
379	804.897	6212.96	0	4423.99	51111.8	61748.7
380	804.897	6196.3	0	4434.53	51111.8	61742.6
381	804.897	6187.84	0	4413.84	50776.6	61378.3
382	804.897	6155.89	0	4391.82	50776.6	61324.3
383	804.897	6162.22	0	4391.65	50776.6	61330.5
384	804.897	6197.05	0	4448.24	51111.8	61757.1
385	804.897	6277.54	0	4461.37	51111.8	61850.7
386	804.897	6236.33	0	4483.3	52491.3	63211
387	804.897	6224.61	0	4440.19	52140.5	62805.3
388	804.897	6266.06	0	4444.03	52140.5	62850.5
389	804.897	6317.22	0	4462.51	52140.5	62920.2
390	804.897	6288.62	0	4446.18	52140.5	62875.2
391	804.897	6255.56	0	4456.32	52140.5	62852.3
392	804.897	6290.59	0	4496.67	52491.3	63278.6
393	804.897	6372.62	0	4527.77	52846.4	63746.8
394	804.897	6444.08	0	4556.01	53205.7	64205.7
395	804.897	6421.82	0	4539.26	53205.7	64166.7
396	804.897	6409.51	0	4521.56	53205.7	64136.7
397	804.897	6460.61	0	4515.33	53205.7	64181.6
398	804.897	6454.59	0	4546.17	52846.4	63847.1
399	804.897	6412.85	0	4529.71	52491.3	63433.9
400	804.897	6430.11	0	4504	48221.9	59156
401	804.897	6416.46	0	4490.77	48221.9	59129.1
402	804.897	6422.05	0	4496.42	48221.9	59140.3
403	804.897	6428.43	0	4499.14	48221.9	59149.4
404	804.897	6406.64	0	4511.74	48221.9	59140.2
405	804.897	6479.15	0	4521.29	48221.9	59222.3
406	804.897	6422.82	0	4486.86	47917.3	58827
407	804.897	6409.63	0	4500.63	47615.8	58526
408	804.897	6418.7	0	4512.57	47615.8	58547
409	804.897	6402.85	0	4466.89	47317.3	58187
410	804.897	6397	0	4496.93	47317.3	58211.2
411	804.897	6405.36	0	4523.75	47317.3	58246.4
412	804.897	6414.27	0	4538.45	47317.3	58270
413	804.897	6467.28	0	4555.79	47317.3	58340.3
414	804.897	6494.52	0	4554.31	45867.7	56916.5
415	804.897	6452.3	0	4558.4	45867.7	56878.4
416	804.897	6428.51	0	4543.32	45867.7	56839.5
417	804.897	6388.43	0	4540.4	45867.7	56796.5
418	804.897	6336.74	0	4512.34	45586	56435.1
419	804.897	6309.3	0	4488.82	45586	56384.1
420	804.897	6293.72	0	4452.45	45306.9	56053.1
421	804.897	6345.31	0	4452.24	45306.9	56104.5
422	804.897	6310.93	0	4441.14	45306.9	56059
423	804.897	6284.73	0	4425.95	45306.9	56017.6
424	804.897	6277.19	0	4415.33	45306.9	55999.5
425	804.897	6263.81	0	4392.92	45306.9	55963.7
426	804.897	6265.37	0	4379.14	45030.4	55674.9
427	804.897	6283.32	0	4415.02	45030.4	55728.8
428	804.897	6278.46	0	4410.69	45030.4	55719.6
429	804.897	6293.22	0	4436.7	45030.4	55760.4
430	804.897	6377.43	0	4465.77	45030.4	55873.6
431	804.897	6378.58	0	4479.58	45030.4	55888.6
432	804.897	6446.68	0	4480.98	45030.4	55958.1
433	804.897	6385.57	0	4480.92	43949.2	54815.7
434	804.897	6391.87	0	4484.5	43949.2	54825.6
435	804.897	6392.78	0	4470.71	43684.9	54548.4
436	804.897	6387.35	0	4461.83	43949.2	54798.4
437	804.897	6325.1	0	4416.38	43949.2	54690.7
438	804.897	6175.88	0	4369.26	43684.9	54230.1
439	804.897	6125.12	0	4397.89	43949.2	54472.3
440	804.897	6213.84	0	4408.41	43949.2	54571.5
441	804.897	6194.61	0	4378.41	43949.2	54522.3
442	804.897	6179.6	0	4369.56	43684.9	54234.1
443	804.897	6169.51	0	4364.73	43684.9	54219.2
444	804.897	6189.21	0	4384.53	43684.9	54258.7
445	804.897	6204.45	0	4369.94	43684.9	54259.3
446	804.897	6171.84	0	4370.84	43684.9	54227.6
447	804.897	6181.53	0	4366.95	43684.9	54233.4
448	804.897	6200.73	0	4352.36	43684.9	54238
449	804.897	6189.3	0	4333.81	43422.9	53946
450	804.897	6046.6	0	4328.59	43422.9	53798.1
451	804.897	6024.28	0	4324.04	43163.2	53511.5
452	804.897	5977.67	0	4347.61	41897.2	52222.4
453	804.897	5898.83	0	4316.81	41897.2	52112.8
454	804.897	5866.28	0	4298.22	41650.2	51814.7
455	804.897	5785.08	0	4281.58	41405.3	51472
456	804.897	5741.05	0	4250.99	41405.3	51397.4
457	804.897	5735.43	0	4270.47	41405.3	51411.2
458	804.897	5706.54	0	4236.41	41162.4	51105.4
459	804.897	5720.57	0	4232.36	41162.4	51115.4
460	804.897	5742.34	0	4244.9	41162.4	51149.7
461	804.897	5796.82	0	4276.5	41405.3	51478.7
462	804.897	5753.2	0	4239.06	41162.4	51154.7
463	804.897	5774.61	0	4235.74	41162.4	51172.8
464	804.897	5649.08	0	4237.6	41162.4	51049.1
465	804.897	5695.97	0	4222.22	41162.4	51080.6
466	804.897	5696.92	0	4224.27	41162.4	51083.6
467	804.897	5716.28	0	4233.6	40921.5	50871.3
468	804.897	5696.83	0	4250.53	40210	50157.3
469	804.897	5688.37	0	4257.58	40210	50155.9
470	804.897	5683.61	0	4258.46	40210	50152
471	804.897	5643.76	0	4260.05	39976.5	49880.3
472	804.897	5658.63	0	4266.29	39976.5	49901.4
473	804.897	5633.86	0	4263.78	39976.5	49874.1
474	804.897	5641.62	0	4287.12	40210	50138.7
475	804.897	5606.34	0	4241.9	39976.5	49824.7
476	804.897	5610.75	0	4246.21	39976.5	49833.5
477	804.897	5537.15	0	4224.84	39976.5	49738.5
478	804.897	5514.57	0	4208.38	39976.5	49699.4
479	804.897	5477.15	0	4213.76	39976.5	49667.4
480	804.897	5468.84	0	4195.44	39976.5	49640.8
481	804.897	5469.41	0	4202.56	39976.5	49648.5
